"ID","yr","ewe_age","age_class","prim","birthdate","median_bdate","birthdate_tp1","greenup_date","mass_fall_tm1","mass_fall","mass_spring","mass_gain","greenup_mismatch","mismatch_tp1","wean_mass","code_sr","repro_tp1","wean_tp1","frs","pred","first_pregnant"
307,2013,7,"adult","FALSE",155,156,NA,146,71.869,70.828,58.865,"11.9631208572376",9,NA,28.276,"2","yes","no","neoDeath","1","0"
307,2014,8,"adult","FALSE",NA,155.5,NA,152,70.828,75.867,57.456,"18.4107897782762",NA,NA,NA,"1","yes","yes","weaned","0","0"
307,2015,9,"adult","FALSE",144,147.5,"164",137,75.867,76.543,58.814,"17.7292120782451",7,"41",26.136,"5","yes","yes","weaned","0","0"
307,2016,10,"adult","FALSE",164,149,"146",123,76.543,77.752,67.965,"9.78707201297479",41,"5",NA,"3","yes","yes","weaned","0","0"
307,2017,11,"adult","FALSE",146,145.5,NA,141,77.752,77.835,59.733,"18.1021562573925",5,NA,32.623,"5","yes","no","neoDeath","0","0"
307,2018,12,"senescent","FALSE",NA,152,NA,131,77.835,75.246,64.281,"10.9654255536175",NA,NA,NA,"1",NA,NA,NA,"0","0"
308,2010,2,"adult",NA,NA,144,NA,150,NA,64.003,44.87,"19.1326436926289",NA,NA,NA,"0","yes","yes","weaned","0","0"
308,2011,3,"prim","TRUE",148,148,NA,151,64.003,66.191,47.305,"18.8859975519394",-3,NA,27.418,"5",NA,NA,NA,"0","0"
309,2010,2,"adult",NA,NA,144,NA,150,NA,60.867,43.619,"17.2482526484256",NA,NA,NA,"0","yes","yes","weaned","0","0"
309,2011,3,"prim","TRUE",163,148,"153",151,60.867,65.496,47.918,"17.5782135475632",12,"7",24.776,"5","yes","no","notWeaned","0","1"
309,2012,4,"adult","FALSE",153,150,"161",146,65.496,66.023,50.873,"15.1505106867862",7,"15",NA,"2","yes","yes","weaned","0","1"
309,2013,5,"adult","FALSE",161,156,NA,146,66.023,68.572,55.665,"12.906878255702",15,NA,25.504,"3","yes","no","neoDeath","1","0"
309,2014,6,"adult","FALSE",NA,155.5,NA,152,68.572,72.022,55.095,"16.9269049761449",NA,NA,NA,"1","yes","no","neoDeath","0","0"
309,2015,7,"adult","FALSE",NA,147.5,NA,137,72.022,69.823,58.545,"11.277488643435",NA,NA,NA,"1",NA,NA,NA,"0","0"
310,2010,2,"adult",NA,NA,144,NA,150,NA,59.778,42.612,"17.1660340755165",NA,NA,NA,"0","no",NA,"noLamb","0","0"
310,2011,3,"adult",NA,NA,148,NA,151,59.778,68.638,53.205,"15.4336259111563",NA,NA,NA,"0","yes","no","notWeaned","0","0"
310,2012,4,"prim","TRUE",150,150,NA,146,68.638,NA,NA,NA,4,NA,NA,"2",NA,NA,NA,"0","0"
311,2011,2,"adult",NA,NA,148,NA,151,NA,62.757,43.973,"18.783310476656",NA,NA,NA,"0","yes","yes","weaned","0","0"
311,2012,3,"prim","TRUE",149,150,NA,146,62.757,64.473,48.212,"16.2610798404196",3,NA,NA,"3","yes","no","neoDeath","0","0"
311,2013,4,"adult","FALSE",NA,156,NA,146,64.473,69.772,57.889,"11.8831811207124",NA,NA,NA,"1","yes","no","neoDeath","1","0"
311,2014,5,"adult","FALSE",NA,155.5,NA,152,69.772,73.278,50.056,"23.2226988238467",NA,NA,NA,"1","yes","yes","weaned","0","0"
311,2015,6,"adult","FALSE",141,147.5,"147",137,73.278,75.627,59.608,"16.019068744535",4,"24",28.594,"3","yes","yes","weaned","0","0"
311,2016,7,"adult","FALSE",147,149,NA,123,75.627,76.816,66.248,"10.5682553716858",24,NA,NA,"5","yes","yes","weaned","0","0"
311,2017,8,"adult","FALSE",NA,145.5,NA,141,76.816,80.362,63.385,"16.9766002742595",NA,NA,NA,"5","yes","yes","weaned","0","0"
311,2018,9,"adult","FALSE",148,152,NA,131,80.362,78.532,62.873,"15.6590756237229",17,NA,NA,"3","no",NA,"noLamb","0","0"
