"ID","yr","ewe_age_z","age_class","prim","mass_gain","repro_tp1","frs","wean_tp1","birthdate_tp1","mismatch_tp1","pred","first_pregnant","birthdate_z","median_bdate_z","greenup_date_z","mass_fall_tm1_z","mass_fall_z","mass_spring_z","greenup_mismatch_z","code_sr","wean_mass_z"
41,2003,-0.649,"prim","TRUE",13.464,"yes","weaned","yes",160,14,"0","1",0.457,1.341,0.507,0.163,0.345,0.601,0.028,"5",-0.861
41,2004,-0.363,"adult","FALSE",9.773,"yes","weaned","yes",144,2,"0","1",0.386,1.051,-0.028,0.358,0.667,1.338,0.3,"5",NA
41,2005,-0.078,"adult","FALSE",14.647,"yes","neoDeath","no",NA,NA,"0","0",-0.746,-0.474,-0.384,0.674,0.951,1.013,-0.352,"3",1.45
41,2006,0.208,"adult","FALSE",14.785,"yes","weaned","yes",NA,NA,"0","0",NA,-0.619,-1.097,0.953,1.264,1.283,NA,"1",NA
41,2007,0.494,"adult","FALSE",12.956,"yes","notWeaned","no",145,-15,"0","0",-0.746,-1.127,0.507,1.261,0.87,1.142,-0.896,"5",1.005
41,2008,0.78,"adult","FALSE",21.027,"yes","weaned","yes",138,-8,"0","0",-0.675,-0.692,1.219,0.874,1.709,0.941,-1.276,"2",NA
41,2009,1.066,"adult","FALSE",17.022,"yes","weaned","yes",144,-6,"0","0",-1.17,-1.781,-0.028,1.698,1.319,1.065,-0.896,"5",NA
41,2010,1.351,"adult","FALSE",20.417,"yes","weaned","yes",138,-13,"0","0",-0.746,-1.272,0.328,1.315,1.566,0.883,-0.787,"5",2.058
41,2011,1.637,"senescent","FALSE",15.832,"yes","weaned","yes",145,-1,"0","0",-1.17,-0.692,0.418,1.558,1.416,1.296,-1.167,"3",1.286
41,2012,1.923,"senescent","FALSE",15.116,NA,NA,NA,NA,NA,"0","0",-0.675,-0.401,-0.028,1.41,1.162,1.15,-0.515,"3",0.761
42,2002,-0.935,"prim","TRUE",19.818,"yes","weaned","yes",161,9,"1","0",-0.109,0.034,1.041,-1.438,-0.98,-1.373,-0.733,"2",NA
42,2003,-0.649,"adult","FALSE",14.705,"yes","weaned","yes",163,17,"0","1",0.457,1.341,0.507,-0.945,-0.454,-0.278,0.028,"3",-1.667
42,2004,-0.363,"adult","FALSE",12.492,"yes","weaned","yes",148,6,"0","1",0.598,1.051,-0.028,-0.427,0.14,0.53,0.463,"5",-0.748
42,2005,-0.078,"adult","FALSE",16.37,"yes","weaned","yes",146,12,"0","0",-0.463,-0.474,-0.384,0.156,0.327,0.236,-0.135,"3",-0.852
42,2006,0.208,"adult","FALSE",16.822,"yes","weaned","yes",144,-8,"0","0",-0.604,-0.619,-1.097,0.34,0.532,0.37,0.191,"3",0.318
42,2007,0.494,"adult","FALSE",10.015,"yes","neoDeath","no",NA,NA,"0","0",-0.746,-1.127,0.507,0.542,-0.217,0.501,-0.896,"5",-1.5
42,2008,0.78,"adult","FALSE",27.827,NA,NA,NA,NA,NA,"0","0",NA,-0.692,1.219,-0.195,1.232,-0.31,NA,"1",NA
43,2002,-0.935,"prim","TRUE",12.902,"yes","neoDeath","no",NA,NA,"1","1",1.66,0.034,1.041,-2.213,-1.78,-1.275,0.626,"3",-1.645
43,2003,-0.649,"adult","FALSE",16.465,"yes","neoDeath","no",NA,NA,"0","1",NA,1.341,0.507,-1.731,-1.021,-1.008,NA,"1",NA
43,2004,-0.363,"adult","FALSE",13.255,"yes","neoDeath","no",NA,NA,"0","1",NA,1.051,-0.028,-0.986,0.219,0.511,NA,"1",NA
43,2005,-0.078,"adult","FALSE",14.259,NA,NA,NA,NA,NA,"0","0",NA,-0.474,-0.384,0.234,0.632,0.768,NA,"1",NA
44,2004,-0.649,"prim","TRUE",15.431,"yes","neoDeath","no",NA,NA,"0","0",NA,1.051,-0.028,-0.335,0.578,0.578,NA,"2",NA
44,2005,-0.363,"adult","FALSE",14.17,"yes","weaned","yes",NA,NA,"0","0",NA,-0.474,-0.384,0.587,1.309,1.398,NA,"1",NA
44,2006,-0.078,"adult","FALSE",8.189,"yes","weaned","yes",145,-7,"0","0",-0.533,-0.619,-1.097,1.305,1.059,1.886,0.246,"5",1.956
44,2007,0.208,"adult","FALSE",13.743,"yes","weaned","yes",143,-17,"0","0",-0.675,-1.127,0.507,1.059,1.311,1.451,-0.841,"3",0.856
44,2008,0.494,"adult","FALSE",20.232,"yes","weaned","yes",137,-9,"0","0",-0.816,-0.692,1.219,1.308,1.791,1.111,-1.385,"5",1.653
